outcome,day_crash,hour_crash,road_type,road_condition,weather_condition,visibility,type_vehicle,type_vehicle2,gender,crash_type,age
0,2,Night,Asphalt,Dry,Clear,3,truck,car,male,collision,31.91111111
0,1,Night,Asphalt,Dry,Clear,1,bus,car,male,collision,46.93333333
0,5,Day,NA,Dry,Clear,1,car,NA,male,collision,33.89166667
0,4,Day,Asphalt,Dry,Clear,3,car,car,male,collision,31.03888889
0,2,Day,Asphalt,Dry,Clear,1,car,car,male,collision,23.69722222
0,2,Dawn,Soil,Dry,Clear,3,truck,car,male,collision,31.91111111
0,1,Night,Asphalt,Dry,Clear,1,bus,car,male,collision,46.93333333
0,5,Night,NA,NA,NA,NA,car,car,male,collision,40.95277778
1,3,Night,Asphalt,NA,Clear,2,bus,pedestrian,male,collision,38.85833333
0,2,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,30.76111111
0,3,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,34.9
0,4,Day,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,23.87777778
0,7,Night,Asphalt,Dry,Clear,NA,bus,truck,male,collision,60.21666667
0,6,Night,Asphalt,Dry,Clear,3,car,car,male,collision,23.61111111
0,5,Night,Asphalt,Dry,Clear,1,bus,truck,male,collision,30.78888889
0,3,Day,Asphalt,NA,Clear,1,truck,NA,male,collision,46.13888889
0,7,Day,Asphalt,Dry,Clear,1,car,car,male,collision,31.84722222
0,1,Dawn,Asphalt,Dry,NA,1,bus,bus,male,collision,23.63611111
0,7,Night,Asphalt,Dry,NA,NA,bus,truck,male,collision,34.96944444
1,7,Dawn,Asphalt,NA,NA,NA,truck,motorcycle,male,collision,43.775
0,5,Day,Asphalt,NA,Clear,1,truck,truck,male,collision,23.66666667
0,7,Night,Asphalt,Dry,Clear,NA,car,car,male,collision,34.93055556
0,1,Day,Asphalt,Dry,Clear,1,bus,car,male,collision,32.80555556
0,1,Day,Asphalt,Dry,Clear,NA,motorcycle,truck,male,collision,26.75833333
0,4,Day,Asphalt,Dry,Clear,NA,car,car,female,collision,36.07222222
0,1,Day,Asphalt,Dry,Clear,1,car,car,male,collision,36.90277778
0,4,Dawn,Asphalt,NA,NA,NA,bus,bus,male,collision,30.70833333
0,1,Night,Asphalt,Dry,Clear,NA,car,car,male,collision,35.94722222
0,5,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,33.01111111
0,4,Day,Asphalt,Dry,NA,NA,truck,car,male,collision,25.63611111
0,1,Day,Asphalt,NA,Clear,1,truck,truck,male,collision,28.72777778
0,2,Day,Asphalt,Dry,NA,NA,motorcycle,bus,male,collision,25.65
0,NA,Dawn,Asphalt,Dry,Clear,2,car,car,male,collision,22.66111111
0,6,Day,Asphalt,Dry,Clear,1,truck,truck,male,collision,29.85555556
0,6,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,25.66111111
0,3,Night,Asphalt,Dry,NA,2,truck,car,male,collision,43.89444444
0,1,Day,Asphalt,Dry,Clear,2,bus,bus,male,collision,26.64166667
0,5,Dawn,Asphalt,Dry,Clear,1,car,car,male,collision,34.00833333
0,2,Day,Asphalt,Dry,Clear,1,car,NA,male,collision,49.13888889
0,6,Night,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,31.98055556
0,4,Dawn,Asphalt,Dry,Clear,1,truck,car,male,collision,30.98055556
0,4,Dawn,Asphalt,Dry,Clear,1,bus,car,male,collision,29.97777778
0,4,Night,Asphalt,NA,Clear,1,truck,car,male,collision,33.94722222
0,3,Dawn,Asphalt,Dry,Clear,2,truck,bus,male,collision,32.81111111
0,2,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,29.15277778
0,6,Night,Asphalt,Dry,NA,NA,motorcycle,car,male,collision,28.19444444
0,5,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,36.05555556
0,5,Night,Asphalt,Dry,Clear,2,motorcycle,motorcycle,male,collision,26.88611111
0,6,Day,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,25.66111111
0,5,Night,NA,Dry,Clear,2,truck,truck,male,collision,34.76944444
0,6,Night,Asphalt,NA,Clear,2,bus,NA,male,collision,18.73333333
1,4,Dawn,Asphalt,NA,NA,1,truck,motorcycle,male,collision,40.85277778
0,2,Day,Asphalt,Dry,Clear,1,car,bus,male,collision,30.95555556
1,2,Day,Asphalt,NA,NA,1,car,pedestrian,male,collision,37.84444444
0,6,Day,Asphalt,Dry,NA,1,motorcycle,car,NA,collision,NA
0,4,Night,Asphalt,Dry,NA,2,truck,truck,male,collision,28.89166667
0,1,Dawn,Asphalt,Dry,NA,3,bus,NA,male,collision,30.7
0,1,Night,Asphalt,Dry,Clear,1,car,car,male,collision,30.93333333
0,5,Day,Asphalt,Dry,Clear,1,bus,motorcycle,male,collision,38.84722222
1,2,Dawn,Asphalt,Dry,Clear,1,bus,motorcycle,male,collision,34.80555556
0,4,Day,Asphalt,Wet or Damaged,Unclear,1,car,car,male,collision,30.80555556
0,1,Dawn,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,28.84444444
1,4,Dawn,Asphalt,NA,Clear,1,motorcycle,pedestrian,male,collision,22.61111111
0,6,Day,Asphalt,Dry,Clear,1,bus,truck,male,collision,45.07222222
0,7,Night,Asphalt,Wet or Damaged,Clear,1,bus,truck,male,collision,29.83611111
1,1,Night,Asphalt,Dry,Clear,1,bus,car,male,collision,46.93333333
0,1,Night,Asphalt,Dry,Clear,1,truck,car,male,collision,44.10277778
1,2,Night,Asphalt,NA,Clear,1,bus,bus,male,collision,44.925
0,1,Day,Asphalt,Dry,Clear,1,motorcycle,truck,NA,runover,NA
0,7,Day,Asphalt,Dry,Clear,1,car,motorcycle,male,collision,33.74166667
0,7,Night,Asphalt,Dry,NA,NA,motorcycle,motorcycle,male,collision,NA
0,6,Day,Asphalt,NA,Clear,NA,truck,bus,male,collision,30.08888889
0,5,Day,Asphalt,NA,Clear,NA,truck,car,male,collision,39.08055556
0,4,Dawn,Asphalt,Dry,Clear,2,bus,car,male,collision,24.79444444
1,3,Night,Asphalt,Dry,NA,1,truck,motorcycle,male,collision,62.275
0,3,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,55.23055556
0,6,Day,Asphalt,NA,NA,NA,bus,car,male,collision,53.36388889
0,2,Night,Asphalt,Dry,NA,NA,bus,car,male,collision,43.15
0,3,Day,Asphalt,NA,NA,NA,car,car,male,collision,50.35277778
0,5,Day,Asphalt,Dry,Clear,1,car,bus,male,collision,39.00277778
NA,1,Dawn,Asphalt,Dry,Clear,1,motorcycle,car,male,collision,42.86666667
0,5,Night,Asphalt,Dry,Clear,2,car,car,male,collision,32.01666667
0,1,Day,Asphalt,Dry,Clear,1,bus,motorcycle,male,collision,37.97777778
0,2,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,41.17777778
0,5,Night,Asphalt,Dry,Clear,1,truck,truck,male,collision,69.43888889
0,5,Dawn,Asphalt,Dry,NA,NA,truck,car,male,collision,38.15833333
NA,5,Dawn,Asphalt,Dry,Clear,1,bus,car,male,collision,24.61388889
0,1,Day,Asphalt,NA,NA,NA,motorcycle,car,male,collision,18.81666667
0,3,Dawn,Asphalt,Dry,Clear,1,motorcycle,car,male,runover,29.86666667
0,6,Night,Asphalt,Dry,Clear,2,truck,car,male,collision,32.07777778
1,6,Dawn,Asphalt,Dry,NA,1,car,pedestrian,male,collision,44.90833333
0,6,Night,Asphalt,Dry,NA,2,car,motorcycle,male,collision,44.03888889
0,2,Night,Asphalt,NA,NA,3,truck,NA,male,collision,49.19722222
0,2,Day,Asphalt,Dry,Clear,1,truck,car,male,collision,36.04722222
0,2,Night,Asphalt,Dry,Clear,2,motorcycle,car,male,collision,33.825
0,5,Day,Asphalt,Dry,NA,NA,bus,car,male,collision,42.02777778
0,2,Night,Asphalt,Wet or Damaged,Unclear,2,car,car,female,collision,33.04166667
